x,y,z,cluster
2.093937241216731,-8.824674376367213,1.4,3
2.301284802704368,-7.84640703624738,1.4,4
2.508632364192006,-6.86813969612755,1.4,4
2.715979925679643,-5.889872356007719,1.4,4
2.9233274871672803,-4.911605015887887,1.4,4
3.1306750486549175,-3.9333376757680556,1.4,4
3.3380226101425556,-2.955070335648224,1.4,4
3.545370171630193,-1.976802995528392,1.4,4
3.75271773311783,-0.9985356554085602,1.4,4
3.9600652946054673,-0.020268315288728567,1.4,4
4.1674128560931045,0.9579990248311029,1.4,4
4.374760417580743,1.9362663649509344,1.4,4
1.3230174625845363,-7.639059474759743,1.4,4
1.5303650240721738,-6.660792134639912,1.4,4
1.737712585559811,-5.682524794520081,1.4,4
1.9450601470474485,-4.704257454400249,1.4,4
2.152407708535086,-3.7259901142804175,1.4,4
2.359755270022723,-2.7477227741605863,1.4,4
2.5671028315103603,-1.7694554340407542,1.4,4
2.774450392997998,-0.7911880939209228,1.4,4
2.9817979544856352,0.18707924619890892,1.4,4
3.189145515973273,1.1653465863187402,1.4,4
3.39649307746091,2.143613926438572,1.4,4
0.3447501224647047,-7.431711913272106,1.4,4
0.5520976839523422,-6.453444573152275,1.4,4
0.7594452454399796,-5.4751772330324435,1.4,4
0.9667928069276168,-4.496909892912612,1.4,4
1.1741403684152543,-3.5186425527927803,1.4,4
1.3814879299028917,-2.5403752126729486,1.4,4
1.5888354913905292,-1.5621078725531168,1.4,4
1.7961830528781664,-0.5838405324332852,1.4,4
2.0035306143658036,0.3944268076865464,1.4,4
2.2108781758534413,1.3726941478063779,1.4,4
2.4182257373410785,2.3509614879262095,1.4,4
2.625573298828716,3.329228828046041,1.4,4
-0.633517217655127,-7.224364351784469,1.4,4
-0.42616965616748964,-6.246097011664638,1.4,4
-0.2188220946798523,-5.267829671544806,1.4,4
-0.011474533192214887,-4.289562331424975,1.4,4
0.1958730282954225,-3.311294991305143,1.4,4
0.40322058978305997,-2.333027651185311,1.4,4
0.6105681512706973,-1.3547603110654793,1.4,4
0.8179157127583346,-0.3764929709456478,1.4,4
1.025263274245972,0.6017743691741838,1.4,4
1.2326108357336094,1.5800417092940153,1.4,4
1.4399583972212469,2.558309049413847,1.4,4
1.647305958708884,3.5365763895336784,1.4,4
1.8546535201965213,4.51484372965351,1.4,4
-1.4044369962873215,-6.038749450177,1.4,4
-1.1970894347996839,-5.060482110057168,1.4,4
-0.9897418733120468,-4.082214769937337,1.4,4
-0.7823943118244092,-3.1039474298175054,1.4,4
-0.5750467503367718,-2.1256800896976737,1.4,4
-0.36769918884913444,-1.1474127495778421,1.4,4
-0.16035162736149705,-0.1691454094580104,1.4,4
0.04699593412614035,0.8091219306618213,1.4,4
0.2543434956137777,1.7873892707816528,1.4,4
0.4616910571014151,2.7656566109014844,1.4,4
0.6690386185890526,3.7439239510213165,1.4,4
0.8763861800766897,4.722191291141148,1.4,4
1.0837337415643273,5.70045863126098,1.4,3
-2.382704336407153,-5.831401888689363,1.4,4
-2.1753567749195155,-4.853134548569531,1.4,4
-1.9680092134318783,-3.8748672084496993,1.4,4
-1.760661651944241,-2.8965998683298677,1.4,4
-1.5533140904566036,-1.9183325282100363,1.4,4
-1.3459665289689662,-0.9400651880902045,1.4,4
-1.1386189674813287,0.03820215202962707,1.4,4
-0.9312714059936914,1.0164694921494588,1.4,4
-0.7239238445060538,1.9947368322692902,1.4,4
-0.5165762830184166,2.973004172389122,1.4,4
-0.30922872153077924,3.9512715125089537,1.4,4
-0.10188116004314192,4.929538852628785,1.4,4
0.10546640144449548,5.907806192748617,1.4,4
0.31281396293213287,6.886073532868449,1.4,3
-2.94627655355171,-3.667519646962062,1.4,4
-2.7389289920640727,-2.6892523068422305,1.4,4
-2.531581430576435,-1.710984966722399,1.4,4
-2.324233869088798,-0.732717626602567,1.4,4
-2.1168863076011606,0.24554971351726448,1.4,4
-1.9095387461135231,1.2238170536370963,1.4,4
-1.7021911846258857,2.2020843937569277,1.4,4
-1.4948436231382485,3.1803517338767593,1.4,4
-1.2874960616506108,4.158619073996591,1.4,4
-1.0801485001629736,5.1368864141164226,1.4,4
-0.8728009386753361,6.115153754236254,1.4,4
-0.6654533771876987,7.093421094356087,1.4,4
-3.9245438936715424,-3.4601720854744245,1.4,4
-3.7171963321839043,-2.4819047453545933,1.4,4
-3.509848770696267,-1.5036374052347614,1.4,4
-3.30250120920863,-0.5253700651149297,1.4,4
-3.095153647720992,0.45289727500490196,1.4,4
-2.887806086233355,1.4311646151247337,1.4,4
-2.6804585247457178,2.409431955244565,1.4,4
-2.4731109632580806,3.3876992953643965,1.4,4
-2.265763401770443,4.365966635484229,1.4,4
