Species	Ks
N03_N03	0.018727599999999997
N03_N03	0.393246
N03_N03	0.0386686
N03_N03	0.578097
N03_N03	
N03_N03	
N03_N03	
N03_N03	0.054239699999999995
N03_N03	0.054795800000000006
N03_N03	0.00340891
N03_N03	0.056957400000000005
N03_N03	0.0793061
N03_N03	0.0969416
N03_N03	0.0148786
N03_N03	0.0147164
N03_N03	0.0211459
N03_N03	0.0167402
N03_N03	
N03_N03	0.0604273
N03_N03	0.014349100000000002
N03_N03	0.0178886
N03_N03	
N03_N03	
N03_N03	0.07166
N03_N03	0.0437274
N03_N03	
N03_N03	0.101094
N03_N03	0.0169615
N03_N03	0.0835681
N03_N03	0.03805119999999999
N03_N03	0.0229168
N03_N03	0.027423400000000004
N03_N03	0.00640098
N03_N03	3.21743
N03_N03	
N03_N03	
N03_N03	0.026122199999999998
N03_N03	0.0509314
N03_N03	
N03_N03	0.0571261
N03_N03	0.0105126
N03_N03	0.07648730000000001
N03_N03	0.58926
N03_N03	
N03_N03	0.0528337
N03_N03	
N03_N03	0.00453906
N03_N03	0.591194
N03_N03	0.463189
N03_N03	
N03_N03	0.0566572
N03_N03	
N03_N03	
N03_N03	0.0335441
N03_N03	0.0491164
N03_N03	0.0295161
N03_N03	0.0073146
N03_N03	0.0205937
N03_N03	0.047411699999999994
N03_N03	0.025230799999999998
N03_N03	0.011913799999999999
N03_N03	
N03_N03	0.0164958
N03_N03	1.45065
N03_N03	0.00595682
N03_N03	0.031137900000000003
N03_N03	0.00920271
N03_N03	0.00545253
N03_N03	0.025387299999999998
N03_N03	0.0110311
N03_N03	0.115835
N03_N03	0.121531
N03_N03	0.01466
N03_N03	0.0541242
N03_N03	0.0324502
N03_N03	0.0491611
N03_N03	0.019450400000000003
N03_N03	
N03_N03	0.0123435
N03_N03	
N03_N03	0.0988846
N03_N03	0.05412719999999999
N03_N03	0.0175236
N03_N03	0.0549615
N03_N03	0.124377
N03_N03	0.0964315
N03_N03	0.055212300000000006
N03_N03	
N03_N03	0.0123227
N03_N03	0.110845
N03_N03	0.042521300000000005
N03_N03	
N03_N03	0.0780258
N03_N03	
N03_N03	
N03_N03	0.00991733
N03_N03	
N03_N03	
N03_N03	
N03_N03	
N03_N03	0.00978758
N03_N03	0.0277664
N03_N03	0.0643967
N03_N03	0.038444400000000004
N03_N03	0.204271
N03_N03	0.12906199999999998
N03_N03	
N03_N03	0.028474799999999998
N03_N03	0.023234599999999998
N03_N03	
N03_N03	0.020603299999999998
N03_N03	0.0725864
N03_N03	0.0719982
N03_N03	
N03_N03	0.0124301
N03_N03	0.026885500000000003
N03_N03	0.08513739999999999
N03_N03	
N03_N03	1.28147
N03_N03	0.130097
N03_N03	
N03_N03	0.0706132
N03_N03	0.0202829
N03_N03	0.035467
N03_N03	
N03_N03	0.0300941
N03_N03	
N03_N03	0.061466099999999996
N03_N03	0.0528683
N03_N03	0.0160382
N03_N03	0.867534
N03_N03	
N03_N03	0.0483997
N03_N03	0.0252248
N03_N03	0.022024000000000002
N03_N03	0.0112598
N03_N03	
N03_N03	0.035563800000000007
N03_N03	0.032793199999999995
N03_N03	0.0187895
N03_N03	0.093174
N03_N03	
N03_N03	
N03_N03	0.0555826
N03_N03	0.0814243
N03_N03	0.022746900000000004
N03_N03	0.043944800000000006
N03_N03	0.053870400000000006
N03_N03	0.00811003
N03_N03	3.06885
N03_N03	0.04918019999999999
N03_N03	
N03_N03	0.060746
N03_N03	0.11847
N03_N03	
N03_N03	0.0347257
N03_N03	
N03_N03	0.0613581
N03_N03	0.0141965
N03_N03	0.0232542
N03_N03	0.06979860000000002
N03_N03	0.027512400000000003
N03_N03	0.020050400000000003
N03_N03	
N03_N03	0.0190285
N03_N03	
N03_N03	0.0184901
N03_N03	0.0606075
N03_N03	
N03_N03	0.0093783
N03_N03	0.0443215
N03_N03	0.225117
N03_N03	0.0190228
N03_N03	0.0383734
N03_N03	
