stock_code,revenue,s_fa_eps_basic,du_profit,plus_net_invest_inc,net_cash_flows_oper_act,net_cash_flows_inv_act,net_roe,total_roe,RSI,VOL,WILLR,y,date
002385.SZ,11837410304,0.204699993,1132688256,23580814,-72284968,-1117624832,8.652199745,5.363999844,45.44760188,0.013644051,-84.61538462,-0.027777778,20171207
002411.SZ,2659782144,0.405200005,882414912,756846.375,1030180288,-3999284992,7.04820013,3.259500027,41.36522921,0.001227213,-45.97701149,0.00303375,20171207
002415.SZ,21144424448,0.671000004,7001857024,0,1955771392,737733824,22.85160065,14.29440022,42.09698467,0.0057163,-72.14765101,0.025107991,20171207
002424.SZ,1526445312,0.25,428630688,0,1247611,-156207872,10.65769958,8.158900261,18.29080979,0.011464197,-80.8988764,0.002621232,20171207
002426.SZ,10224638976,0.1149,693849088,7836284.5,-483230720,-1125660032,4.523900032,2.125799894,51.81134231,0.012395181,-77.14285714,-0.054365733,20171207
002450.SZ,7156918784,0.532000005,2694500352,-7120831.5,336188128,-1050866112,10.82009983,6.250400066,38.2291329,0.012544611,-96.53465347,-0.062690466,20171207
002456.SZ,19004475392,0.376399994,1463746688,-2366658.5,242502016,-2703575552,11.39550018,3.730799913,41.68504771,0.016014249,-83.97212544,-0.079007809,20171207
002460.SZ,2022588032,1.350000024,1177767040,-2176447,549007936,-576582464,33.08039856,20.11310005,31.30805234,0.03229706,-89.1440501,0.053219641,20171207
002465.SZ,2394608128,0.079999998,267864864,-5521800,-896853824,59499444,2.215800047,1.623600006,23.88320757,0.007546838,-62.23776224,0.02420242,20171207
002466.SZ,2770148096,1.539999962,2507039488,9704669,1255080832,-389909792,22.57999992,14.62880039,25.73223929,0.01691174,-92.60299625,-0.084602076,20171207
002468.SZ,6798107136,0.74000001,1456589184,-32778582,799849664,-444880768,17.56220055,14.23750019,17.93704021,0.003125769,-54.41176471,0.024989588,20171207
002470.SZ,17416749056,0.289999992,1225039488,0,1844214912,-1308756992,9.431900024,5.856599808,0,0,0,,20171207
002475.SZ,8416370688,0.340000004,1395432192,6747168.5,249733216,-1274681216,8.919599533,4.80189991,49.01470057,0.004243999,-54.14012739,-0.078118609,20171207
002500.SZ,1591089024,0.134100005,0,0,-2800725760,-1967001984,3.048399925,0.821799994,32.48959024,0.009547859,-100,-0.040425532,20171207
002508.SZ,3985465856,1.00999999,1049436992,0,1169583104,-117272592,20.18530083,13.46140003,39.1447211,0.00601351,-84.92307692,0.078444594,20171207
002555.SZ,3667557632,0.574000001,1477273984,21261632,655504832,-1320061952,18.37630081,18.12680054,39.02017242,0.006414155,-19.04761905,0.022772277,20171207
002558.SZ,1668608640,0.519999981,1018232896,-4678150.5,601648896,-104416440,12.5546999,12.0163002,41.23634509,0.003194018,-67.15758468,-0.058807734,20171207
002572.SZ,2971284736,0.62349999,772603264,-1776600.625,633476864,-878596352,13.90310001,9.573200226,38.43056964,0.008872189,-63.19702602,0.001388889,20171207
002594.SZ,72797790208,0.959999979,5823370752,-154740000,-2828935936,-8841635840,5.159399986,2.234899998,39.10257773,0.017176303,-92.63674614,0.1361097,20171207
002601.SZ,2063888000,0.959999979,2474759936,86379.03125,-417262080,-1681134080,14.31659985,10.34220028,38.39407285,0.006359524,-73.96694215,-0.01653944,20171207
002602.SZ,2541940736,0.699999988,856800640,0,374381952,-402031904,14.01980019,12.09780025,35.62734123,0.00086261,-66.2295082,0.046612803,20171207
002608.SZ,12566667264,0.430000007,2847750656,698314944,3586910464,-2886620672,8.381500244,4.257199764,44.73969001,0.000987241,-59.70149254,0.023302938,20171207
002624.SZ,3542183936,0.819999993,1211608064,117317088,445005312,-6829784576,14.20359993,6.287499905,53.92580761,0.003058624,-7.843137255,0.014769231,20171207
002673.SZ,2584733184,0.219999999,0,-21531.0293,-7689250304,-341360288,4.046800137,1.308899999,33.21055175,0.006180634,-96.11650485,-0.053696498,20171207
002714.SZ,3900155136,1.639999986,2024792192,2401718.75,1272464896,-2578260480,18.63750076,11.35669994,53.70386484,0.006953014,-39.88439306,0.037866772,20171207
002736.SZ,9677864960,0.379999995,0,236072704,-15448718336,-32321366,6.597099781,1.723500013,26.57933677,0.001067307,-100,-0.100932994,20171207
002739.SZ,8437411840,1.076599956,1684441216,8767492,1509390464,-3784328704,10.97970009,6.011499882,0,0,0,,20171207
002797.SZ,1454442240,0.090000004,0,74237952,-3808128000,-209166944,3.392499924,0.983299971,26.13428102,0.022984465,-68.08510638,0.032608696,20171207
002831.SZ,3592267264,1.527699947,849441152,0,545101440,-635192128,13.02950001,7.831200123,26.3124398,0.001658837,-84.14154653,-0.046867126,20171207
002839.SZ,1757349376,0.310000002,0,60222708,4632369664,-3573455616,6.831099987,0.601800025,48.42737373,0.013731251,-22.48062016,0.003451251,20171207
002841.SZ,6057723904,1.49000001,684770432,7963391,754161920,-41657556,24.92359924,14.3902998,46.80089298,0.003217006,-90.30172414,0.001246537,20171207
300003.SZ,2524522240,0.415100008,1040829824,1911220,539184384,-1197626880,11.99790001,7.896100044,55.33786701,0.007480715,-10.88709677,0.024442539,20171207
300015.SZ,3082767104,0.416500002,914790592,0,541981440,-710196928,18.75279999,12.51249981,48.42976568,0.003337143,-1.244813278,0.041186736,20171207
300017.SZ,3222390528,0.2377,532942752,-971503.125,659667584,-3913056256,7.409100056,6.166600227,65.71375404,0.024829575,-14.50381679,-0.011811024,20171207
300024.SZ,1245838080,0.180000007,315371392,-2497084.75,-339708160,-1238882048,4.727399826,3.647599936,33.02631144,0.007568586,-71.73913043,-0.001064396,20171207
300027.SZ,2151592192,0.219999999,1046842560,64687644,228949216,-1993031552,6.354000092,3.360100031,60.10243592,0.008275922,-9.411764706,-0.0260181,20171207
300033.SZ,1195466880,0.879999995,522217280,0,534309120,-100644512,16.12439919,11.44200039,36.38351575,0.014828128,-60.59479554,-0.005390297,20171207
300059.SZ,1747531648,0.107000001,477400576,32956788,-4877936640,-1640114304,3.450700045,1.437399983,55.38148408,0.019371133,-51.2195122,-0.087463557,20171207
300070.SZ,3204989184,0.237000003,1185193472,0,-1330690560,-2214037248,4.557899952,2.236299992,24.26058931,0.008266276,-71.15384615,0.041292639,20171207
300072.SZ,10293366784,1.120000005,2814816256,-308081.9063,-916696384,-237969008,24.17040062,9.67840004,52.12495054,0.005453349,-34.05797101,0.016315049,20171207
300122.SZ,273233536,0.178299993,324737632,0,-7726041.5,-145774656,10.22169971,9.177700043,53.53361025,0.012084014,-32.9787234,-0.067967699,20171207
300124.SZ,2453239808,0.439999998,808937216,-2286724.75,193836432,75507008,14.21210003,8.918199539,41.05974871,0.007038906,-70.76923077,0.091325946,20171207
300136.SZ,1504810240,0.733099997,899950656,0,53581840,-90191584,27.83760071,17.90609932,48.02351735,0.015645281,-82.8125,-0.045811769,20171207
300144.SZ,1967937280,0.629999995,1132119168,-4208093.5,1082876288,-720002944,12.75979996,11.5862999,31.37502899,0.00773491,-92.38095238,0.054994388,20171207
300251.SZ,1187013120,0.214200005,667227520,9158241,522553120,-1843041280,8.609700203,6.984399796,52.74767561,0.005936929,-12.82051282,-0.008763389,20171207
300315.SZ,1355779840,0.140000001,539140736,-5001434,698449536,-2379076096,4.541500092,4.03910017,38.3263337,0.010882306,-25.80645161,-0.120967742,20171207
600000.SH,1.21E+11,1.450000048,0,140000000,-1.50E+11,-63293001728,10.03740025,0.711300015,57.31528614,0.002207578,-65.95744681,-0.026234568,20171207
600008.SH,6319004160,0.087800004,1301577600,103612864,1358891264,-2818745600,3.881299973,1.159800053,30.25690524,0.007285291,-92.15686275,-0.00776699,20171207
600009.SH,5229806080,1.399999976,3451621632,565874176,1246474112,-1226861056,11.15170002,10.49750042,45.81359926,0.008318593,-71.53558052,0.051227067,20171207
600010.SH,20002676736,0.0309,3073710592,32037002,5116473344,-7259906560,2.889400005,0.982900023,38.19018163,0.002602361,-88.23529412,-0.035714286,20171207
600011.SH,64149393408,0.189999998,11529232384,493957920,31797964800,-14498438144,3.759900093,0.966300011,53.57828175,0.001273852,-6.666666667,-0.044207317,20171207
600015.SH,47594999808,1.039999962,0,0,72960999424,-1.89E+11,8.72369957,0.596700013,61.62610914,0.003212967,-37.83783784,-0.039445629,20171207
600016.SH,1.16E+11,1.100000024,0,0,8.56E+11,-1.08E+12,10.85449982,0.708199978,61.80251701,0.005222496,-66.07142857,-0.046223224,20171207
600018.SH,22812669952,0.205500007,8156345856,1179630720,2751996672,-14472243200,7.632400036,4.883699894,45.1518103,0.003739491,-65.78947368,-0.110363392,20171207
600019.SH,1.76E+11,0.529999971,17355096064,14661985,12879931392,-25555951616,7.429999828,4.074200153,43.17977791,0.007155091,-98.4496124,0.013317191,20171207
